packet_size,transmission_time,protocol_type,bandwidth_usage,latency,jitter,packet_loss_rate,device_id,device_type,energy_usage,allocated_bandwidth
1226,91.12209781979044,HTTP,15.623113648241148,550.5202704553517,1.9555745945826875,0.6789842667821899,565,camera,3.070837904598215,6.4104917933860115
960,33.34561073644827,HTTP,63.094116624451566,222.89164521603695,23.431288233407667,0.4321637155417296,321,actuator,2.216078481935464,34.67159565134774
1394,18.012293918294684,HTTP,80.79483775240668,86.79579195220704,40.182257014797564,0.37758071871683563,410,actuator,6.415587530859842,82.9530951983125
1230,95.4108472157652,TCP,59.55185481178999,925.8769181255707,11.281608015930466,1.0574591368143342,686,camera,7.121031455872774,28.562144451326144
1195,34.21652161711999,TCP,38.698202191863864,427.9470491008115,9.526643487997399,3.6845285676650037,231,sensor,5.806726469564273,96.23489955304552
1144,75.00109899113978,TCP,22.32396915604595,117.4709319483617,93.16618777228615,0.7284325759737292,70,sensor,2.6777766570182533,69.18026859992217
221,23.809163285178457,TCP,3.8684296185057563,625.7840812633677,61.524023803009385,2.8979338107978907,51,camera,2.1092327078708397,70.83240981212741
566,72.95575178014536,UDP,29.065393123913623,20.15161996211556,6.794866903145003,0.2465377159197052,975,camera,4.445161518839226,7.803560234113004
1338,23.984059767130546,HTTP,6.566371844479076,704.5789692350444,61.3273666444551,3.3135998687975916,349,actuator,1.936233029967201,95.39052318284979
430,64.13625833253764,TCP,76.95412313298598,620.28704051688,5.498591135271647,4.182845307152697,139,actuator,9.876708575363974,54.833745964668054
187,44.6454400072364,TCP,1.275529385050724,479.89481786824,80.2200585084574,3.236855588194056,72,actuator,6.940278404236451,46.703948138418006
1496,80.07306115474557,TCP,26.148800021484316,568.4218789107747,22.374362524653467,3.088383347369418,726,sensor,5.32792082267153,80.180100777249
1223,73.29691127162975,UDP,13.313607238082271,136.44557282687595,44.54931392358049,3.030605220870953,552,actuator,9.314128774316757,56.09825410920039
971,93.6130767930007,TCP,63.18865103695126,957.2458287905911,19.13035270287493,2.4548961230827064,731,actuator,7.531658828430423,84.96809775964815
230,38.28560853119355,TCP,22.576251198184938,53.491645471694746,72.12835899085057,3.37795259537034,485,actuator,4.559148282071768,43.81993192808355
1432,75.67917754016624,HTTP,4.369626436692716,44.7952548306423,65.38562646627818,0.1082987912728689,435,actuator,5.6229154798156555,92.34434177885227
869,96.91550964479495,TCP,89.60858212671154,393.87233987273333,68.38696572406889,4.627619213600608,191,camera,6.106792588229098,8.535981232221205
443,34.29459372986919,UDP,13.688416263141756,705.1438844334773,17.51085585589148,0.5801192909611808,674,actuator,1.8982954228969744,1.9417448452766757
905,29.710420137605414,UDP,54.54045843768883,89.53705322132554,38.33316398395025,1.2271363239503725,857,actuator,8.912146229211597,50.690485889939026
485,77.13602788377122,TCP,35.1082606572654,667.1707898916916,51.97647637989588,1.5658191869581617,222,camera,4.104826152609551,53.66464767132432
1315,45.10661882590091,TCP,62.86226026777362,254.85065992775546,22.524662204178505,1.2295949921682743,138,camera,6.769048156291928,24.816667267800774
1055,40.46652467822929,HTTP,62.83265790814393,602.0314461319722,12.49491093323739,4.806534775290038,92,actuator,8.87601893291636,99.98231004641465
376,55.01563889134665,UDP,7.633806287413963,229.46499599240505,13.235644652939593,1.081645234073529,116,actuator,0.8435779992066129,80.4095245972184
1284,93.61754316233936,UDP,22.822181439216806,198.96896890799053,6.796403617417235,4.653968722564089,774,sensor,1.0381998697888364,11.60091669737339
559,9.301167939670183,UDP,15.21697227568026,673.1924911027769,38.565579799033415,4.022487602644552,276,actuator,6.665395475990518,77.3299540480944
1437,47.10290052405557,UDP,71.4524876920368,749.6343508010277,50.879132296940575,4.8957710186520425,907,sensor,0.8585456467108152,19.562956145636754
121,11.903961478191,TCP,13.552665717165581,355.00081298970366,59.834953163863005,2.5160220230220425,275,camera,0.973020509576129,37.35024897076427
352,88.475019911082,UDP,80.52906111435446,732.9391082829333,35.39376589174942,1.734484721746783,744,sensor,7.872740194226406,39.86940760861853
847,14.533422886829708,HTTP,20.454211644798274,453.1647767052835,55.30670067587605,3.9268865449960924,542,sensor,9.917493836533653,50.21093143208983
956,9.880635316848256,UDP,51.602648684898625,396.801804359118,52.81889032961622,2.4232646632240513,744,actuator,1.403448666912871,41.22041399947264
574,96.41168526295417,HTTP,29.362159512939343,890.4994699550386,55.73308966653472,0.5206800601083239,663,actuator,3.77524865922216,63.23109622768094
1182,56.770941312701964,UDP,31.251800551115387,149.36703167396047,19.239926182495726,0.5242909466528944,752,camera,9.328448348033131,87.50305618663856
610,82.763400167563,TCP,96.75765654224371,148.792636031684,80.46601141032015,4.0254773626784495,688,camera,5.98565094403613,98.46385370343758
799,47.55542150187982,TCP,13.253114130611081,847.5001174894411,76.4871844738526,2.5387658685220496,445,actuator,6.944418074929922,27.370575407827438
1075,44.1285432049493,UDP,84.566666432861,338.673305338975,3.0909077891754455,2.7190832564381253,636,camera,5.359606161402609,15.96741700414535
289,91.24936620726015,UDP,62.63573842939903,809.9115951474994,51.283044663526375,4.667116213130399,182,actuator,8.176698999863842,24.863878431205407
1057,98.99738440517908,HTTP,0.9120792181896343,566.020258105441,31.885582649770107,4.613419782174731,936,sensor,5.0106956957261435,24.90198055855792
786,62.2346562150503,TCP,89.86953231708526,804.6519158167656,88.06469806211574,4.286047761601834,327,camera,0.36718619646207684,30.711632797571536
1057,91.90064572949484,TCP,1.5819404168284934,529.1280318170769,88.25603413597895,3.283763623660747,224,sensor,2.6183412624151687,90.69521903722693
